epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0402,1.1504,3.52737,1.41281,0.0092,0.8,0.06996,0.02844,0.87803,3.57294,1.34164,1e-05,1e-05,1e-05
2,28.948,1.06177,3.5073,1.38081,0.00945,0.8,0.06879,0.02306,0.74069,3.51601,1.27879,2.9703e-05,2.9703e-05,2.9703e-05
3,41.0588,1.1415,3.49098,1.42138,0.0095,0.8,0.07045,0.03938,0.4902,3.43844,1.11468,4.901e-05,4.901e-05,4.901e-05
4,51.4351,0.80617,3.41464,1.25917,0.01645,1,0.07687,0.05165,0.39531,3.39506,1.05321,6.7921e-05,6.7921e-05,6.7921e-05
5,61.4011,0.72203,3.42476,1.16146,0.01581,1,0.07858,0.05842,0.40406,3.36006,1.00491,8.6436e-05,8.6436e-05,8.6436e-05
6,72.159,0.67588,3.33348,1.10743,0.0196,1,0.0883,0.07466,0.43023,3.34599,0.9936,0.000104555,0.000104555,0.000104555
7,81.8778,0.60198,3.28652,1.12646,0.02175,1,0.17942,0.15111,0.46432,3.34463,0.98488,0.000122278,0.000122278,0.000122278
8,91.9086,0.59438,3.22824,1.04227,0.02513,1,0.22412,0.17228,0.48866,3.33956,0.98201,0.000139605,0.000139605,0.000139605
9,101.967,0.54413,3.19022,1.01213,0.03293,1,0.26782,0.20236,0.58814,3.3506,1.00972,0.000156536,0.000156536,0.000156536
10,112.303,0.48947,3.23059,1.06097,0.0359,1,0.27267,0.19645,0.68623,3.35813,1.06531,0.000173071,0.000173071,0.000173071
11,121.103,0.57329,3.17974,1.07635,0.02731,1,0.31815,0.23289,0.75223,3.36245,1.13157,0.00018921,0.00018921,0.00018921
12,130.107,0.48851,3.10513,1.06718,0.02731,1,0.31815,0.23289,0.75223,3.36245,1.13157,0.000204953,0.000204953,0.000204953
13,138.543,0.50342,3.07001,0.93603,0.03158,1,0.29469,0.22242,0.74577,3.34953,1.291,0.0002203,0.0002203,0.0002203
14,148.223,0.36403,3.00068,0.93281,0.02614,1,0.26232,0.18982,0.72719,3.34971,1.36407,0.000235251,0.000235251,0.000235251
15,156.596,0.49141,3.03645,0.99847,0.02614,1,0.26232,0.18982,0.72719,3.34971,1.36407,0.000249806,0.000249806,0.000249806
16,166.075,0.45714,3.05572,1.0289,0.02289,1,0.32499,0.23597,0.75372,3.36057,1.4777,0.000263965,0.000263965,0.000263965
17,175.348,0.51641,3.1065,1.00102,0.02292,1,0.32082,0.21536,0.96083,3.36444,1.73779,0.000277728,0.000277728,0.000277728
18,185.582,0.52433,3.01366,1.01562,0.02292,1,0.32082,0.21536,0.96083,3.36444,1.73779,0.000291095,0.000291095,0.000291095
19,196.872,0.44516,2.95676,0.94899,0.02005,1,0.34265,0.23405,0.89401,3.33473,1.64391,0.000304066,0.000304066,0.000304066
20,206.869,0.41108,2.91018,0.97674,0.02005,1,0.34265,0.23405,0.89401,3.33473,1.64391,0.000316641,0.000316641,0.000316641
21,216.657,0.47477,2.89775,0.96522,0.01992,1,0.3371,0.22862,0.9303,3.33099,1.52309,0.00032882,0.00032882,0.00032882
22,225.774,0.42225,2.92069,0.96129,0.01992,1,0.3371,0.22862,0.9303,3.33099,1.52309,0.000340603,0.000340603,0.000340603
23,235.488,0.41738,2.8659,0.95892,0.0206,1,0.27496,0.19064,0.98786,3.31054,1.43638,0.00035199,0.00035199,0.00035199
